{| style="width: 690px;" class="wikitable sortable" border="0" cellpadding="1" cellspacing="1"   " wikitable collapsible
|-
! scope="col" |Name
! data-sort-type="number" |Level
! data-sort-type="number" |Def.
! data-sort-type="number" |Magic<br />Def.
! scope="col" |Special Effect
! scope="col" |Lives
! scope="col" |Gender
|-
|[[Alchemic Coat]]<br />'''[full body]'''
|_
|5
|0
|
|[[File:Alchemist_icon_1.png]]
|[[File:Male only.png]]
|-
|[[Alchemic Dress]]<br />'''[full body]'''
|_
|5
|0
|
|[[File:Alchemist_icon_1.png]]
|[[File:Female only.png]]
|-
|[[Angelic Tunic]]
|_
|10
|10
|
|All
|
|-
|[[Artisan's Apron]]
|_
|4
|0
|Focus +1
|All
|
|-
|[[Carp Smock]]
|_
|3
|0
|
|[[File:Angler icon 1.png]]
|[[File:Male only.png]]
|-
|[[Carp Tunic]]
|_
|3
|0
|
|[[File:Angler icon 1.png]]
|[[File:Female only.png]]
|-
|[[Carpenter's Shirt]]
|_
|3
|0
|
|[[File:Carpenter icon 1.png]]
|[[File:Female only.png]]
|-
|[[Carpenter's Tunic]]
|_
|3
|0
|
|[[File:Carpenter icon 1.png]]
|[[File:Male only.png]]
|-
|[[Castele Blouse]]
|_
|3
|0
|
|All
|[[File:Female only.png]]
|-
|[[Castele Shirt]]
|_
|3
|0
|
|All
|[[File:Male only.png]]
|-
|[[Chef's Apron (♂)]]<br />'''[full body]'''
|_
|5
|0
|
|[[File:Cook icon 1.png]]
|[[File:Male only.png]]
|-
|[[Chef's Apron (♀)]]<br />'''[full body]'''
|_
|5
|0
|
|[[File:Cook icon 1.png]]
|[[File:Female only.png]]
|-
|[[Chic Maajik Loose Top|Chic Maajik]]<br />[[Chic Maajik Loose Top|Loose Top]]
|_
|6
|0
|
|All
|[[File:Female only.png]]
|-
|[[Chic Maajik Top]]
|_
|6
|0
|
|All
|[[File:Male only.png]]
|-
|[[Cloth Merc Armour]]
|_
|4
|0
|
|[[File:Mercenary icon 1.png]]
|[[File:Male only.png]]
|-
|[[Cute-Ribbon Dress]]<br />'''[full body]'''
|_
|18
|25
|Skill growth +
|All
|[[File:Female only.png]]
|-
|[[Dancer's Top]]
|_
|10
|10
|Dexterity +1
|All
|
|-
|[[Desert Top]]
|_
|6
|0
|
|All
|[[File:Male only.png]]
|-
|[[Devilish Shirt]]
|_
|10
|10
|
|All
|
|-
|[[Duelling Outfit]]
|_
|7
|0
|
|All
|
|-
|[[Elegant Dress]]<br />'''[full body]'''
|_
|17
|25
|Skill growth +
|All
|[[File:Female only.png]]
|-
|[[Fluffy Suit]]<br />'''[full body]'''
|_
|17
|17
|Sleep resistance
|All
|
|-
|[[Furnace Apron (♂)]]<br />'''[full body]'''
|_
|5
|0
|
|[[File:Blacksmith icon 1.png]]
|[[File:Male only.png]]
|-
|[[Furnace Apron (♀)]]<br />'''[full body]'''
|_
|5
