{| style="width: 670px;" class="wikitable sortable" border="0" cellpadding="1" cellspacing="1"   " wikitable collapsible
|-
! scope="col" |Name
! data-sort-type="number" |Level
! data-sort-type="number" |Def.
! data-sort-type="number" |Magic<br />Def.
! scope="col" |Special Effect
! scope="col" |Lives
! scope="col" |Gender
|-
|[[Angelic Bangles]]
|_
|5
|5
|
|All
|
|-
|[[Artisan's Mitts]]
|_
|2
|0
|Focus +1
|All
|
|-
|[[Carpenter's Gloves]]
|_
|1
|0
|
|[[File:Carpenter icon 1.png]]
|
|-
|[[Cook's Gloves]]
|_
|1
|0
|
|[[File:Cook icon 1.png]]
|
|-
|[[Dragon Claws]]
|_
|8
|5
|Strength +2
|All
|
|-
|[[Fluffy Mitts]]
|_
|5
|5
|Sleep resistance
|All
|
|-
| style="background: wheat" |[[Friendship Gloves|'''Friendship Gloves''']]
|_
|30
|30
|Quickly befriend
visitors
|All
|
|-
|[[Gaudy Gloves]]
|_
|5
|2
|Luck +2
|All
|
|-
|[[Glitter Bangles]]
|_
|5
|5
|Dexterity +1
|All
|
|-
|[[Gold Bangles]]
|_
|4
|2
|Intelligence +1
|All
|
|-
|[[Leather Gauntlets]]
|_
|4
|0
|
|All
|
|-
|[[Merc Gauntlets]]
|_
|2
|0
|
|[[File:Mercenary_icon_1.png]]
|
|-
|[[Miner's Mitts]]
|_
|1
|0
|
|[[File:Miner_icon_1.png]]
|
|-
| style="background: wheat" |[[Miracle Gloves|'''Miracle Gloves''']]
|_
|30
|30
|Revive NPC
with full HP
|All
|
|-
|[[Ninja Bracers]]
|_
|10
|15
|Critical rate +
|All
|
|-
|[[Paladin's Gauntlets]]
|_
|2
|0
|
|[[File:Paladin_icon_1.png]]
|
|-
|[[Plushling Hands]]
|_
|8
|8
|Max HP +20
|All
|
|-
|[[Quilted Mittens]]
|_
|3
|1
|
|All
|
|-
|[[Slash Bangles]]
|_
|8
|0
|Strength +1
|All
|
|-
|[[Snow Gloves]]
|_
|5
|5
|
|All
|
|-
| style="background: wheat" |[[Treasure Gloves|'''Treasure Gloves''']]
|_
|30
|30
|Drops from
red chests x2
|All
|
|-
|[[Frigid Gloves]]
|5
|3
|3
|Water element +
|All
|
|-
|[[Iron Gauntlets]]
|5
|8
|0
|
|[[File:Paladin_icon_1.png]][[File:Mercenary_icon_1.png]][[File:Miner_icon_1.png]]<br />
[[File:Woodcutter_icon_1.png]][[File:Blacksmith_icon_1.png]][[File:Carpenter_icon_1.png]]
|
|-
|[[Snakeskin Gloves]]
|5
|5
|2
|Poison resistance
|[[File:Paladin icon 1.png]][[File:Mercenary icon 1.png]][[File:Hunter icon 1.png]]<br />[[File:Miner icon 1.png]][[File:Woodcutter icon 1.png]][[File:Angler icon 1.png]]<br />[[File:Blacksmith icon 1.png]][[File:Carpenter icon 1.png]]
|
|-
|[[Coastal Gloves]]
|7
|7
|7
