{| style="width: 690px;" class="wikitable sortable" border="0" cellpadding="1" cellspacing="1"   " wikitable collapsible
|-
! scope="col" |Name
! data-sort-type="number" |Level
! data-sort-type="number" |Def.
! data-sort-type="number" |Magic<br />Def.
! scope="col" |Special Effect
! scope="col" |Lives
! scope="col" |Gender
|-
|[[Angelic Pantaloons]]
|_
|7
|7
|
|All
|
|-
|[[Artisan's Puffy Shorts]]
|_
|3
|0
|Focus +1
|All
|
|-
|[[Banded Skirt]]
|_
|5
|0
|
|All
|[[File:Female only.png]]
|-
|[[Carp Trousers (♂)]]
|_
|2
|0
|
|[[File:Angler icon 1.png]]
|[[File:Male only.png]]
|-
|[[Carp Trousers (♀)]]
|_
|2
|0
|
|[[File:Angler icon 1.png]]
|[[File:Female only.png]]
|-
|[[Carpenter's Baggies]]
|_
|2
|0
|
|[[File:Carpenter icon 1.png]]
|[[File:Female only.png]]
|-
|[[Carpenter's Slimfit]]
|_
|2
|0
|
|[[File:Carpenter icon 1.png]]
|[[File:Male only.png]]
|-
|[[Castele Skirt]]
|_
|2
|0
|
|All
|[[File:Female only.png]]
|-
|[[Castele Slacks]]
|_
|2
|0
|
|All
|[[File:Male only.png]]
|-
|[[Chequered Skirt]]
|_
|6
|0
|
|All
|[[File:Female only.png]]
|-
|[[Chic Maajik Capris]]
|_
|5
|0
|
|All
|[[File:Male only.png]]
|-
|[[Chic Maajik Skirt]]
|_
|5
|0
|
|All
|[[File:Female only.png]]
|-
|[[Dancer's Bottoms]]
|_
|7
|7
|Dexterity +1
|All
|
|-
|[[Demon Tights]]
|_
|7
|7
|
|All
|
|-
|[[Denim Long Skirt]]
|_
|5
|0
|
|All
|[[File:Female only.png]]
|-
|[[Desert Diva Skirt]]
|_
|5
|0
|
|All
|[[File:Female only.png]]
|-
|[[Duelling Bottoms]]
|_
|5
|0
|
|All
|
|-
|[[Formal Trousers]]
|_
|5
|1
|
|All
|[[File:Male only.png]]
|-
|[[Frilly Skirt]]
|_
|5
|0
|
|All
|[[File:Female only.png]]
|-
|[[Gaudy Bottoms]]
|_
|6
|4
|Luck +2
|All
|
|-
|[[Harbour Hunk Slacks]]
|_
|4
|0
|
|All
|[[File:Male only.png]]
|-
|[[Harbour Hunny Skirt]]
|_
|4
|0
|
|All
|[[File:Female only.png]]
|-
|[[Highland Kilt]]
|_
|3
|0
|
|All
|
|-
|[[Hunter's Trousers]]
|_
|2
|0
|
|[[File:Hunter icon 1.png]]
|[[File:Male only.png]]
|-
|[[Huntress's Bottoms]]
|_
|2
|0
|
|[[File:Hunter icon 1.png]]
|[[File:Female only.png]]
|-
|[[Kodama Bottoms]]
|_
|2
|0
|
|[[File:Woodcutter icon 1.png]]
|[[File:Female only.png]]
|-
|[[Kodama Pantaloons]]
|_
|2
|0
|
|[[File:Woodcutter icon 1.png]]
|[[File:Male only.png]]
|-
|[[Leather Leggings]]
